age,gender,spotify_usage_period,spotify_listening_device,spotify_subscription_plan,premium_sub_willingness,preffered_premium_plan,preferred_listening_content,fav_music_genre,music_time_slot,music_influencial_mood,music_lis_frequency,music_expl_method,music_recc_rating,pod_lis_frequency,fav_pod_genre,preffered_pod_format,pod_host_preference,preffered_pod_duration,pod_variety_satisfaction,premium_sub_willingness_binary,uses_smartphone,uses_computer,uses_speaker,uses_wearable,device_diversity,primary_listening_device,Age_Segment,Relaxation,Motivational,Sadness,Social,Uses_Recommendations,Uses_Playlists,Uses_Radio,Uses_External,music_expl_category,Travel_Listening,Leisure_Listening,Workout_Listening,Study_Listening,Office_Listening,Night_Winddown,pod_lis_category
20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Free,No,Student plan,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time",Others,1,Never,No Podcast Usage,No Podcast Usage,Well known individuals,Shorter,Ok,0,1,1,0,0,2,Smartphone,Young Adult,1,0,0,0,0,0,0,1,External Discovery,1,1,0,0,0,0,Non-podcast user
20-35,Female,More than 2 years,Wearable devices,Free,No,Student plan,Music,Melody,Night,Uplifting and motivational,While Traveling,Playlists,4,Never,Food and cooking,Educational,Both,Shorter,Ok,0,0,0,0,1,1,Wearable,Young Adult,0,1,0,0,0,1,0,0,Playlist-driven,1,0,0,0,0,0,Non-podcast user
20-35,Female,More than 2 years,Smartphone,Free,No,Student plan,Music,Melody,Morning,Uplifting and motivational,leisure time,"recommendations, Playlists",3,Several times a week,Lifestyle and Health,Conversational,Both,Longer,Satisfied,0,1,0,0,0,1,Smartphone,Young Adult,0,1,0,0,1,1,0,0,Hybrid: Rec + Playlist,0,1,0,0,0,0,Regular user
20-35,Female,More than 2 years,Smartphone,Free,No,Student plan,Music,Pop,Night,Relaxation and stress relief,While Traveling,recommendations,1,Rarely,No Podcast Usage,Educational,No Podcast Usage,Both,Ok,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,1,0,0,0,Algorithm-driven,1,0,0,0,0,0,Light user
20-35,Female,1 year to 2 years,Smartphone,Free,No,None,Music,Electronic/Dance,Night,Social gatherings or parties,Workout session,Others,2,Never,No Podcast Usage,No Podcast Usage,Well known individuals,Shorter,Ok,0,1,0,0,0,1,Smartphone,Young Adult,0,0,0,1,0,0,0,1,External Discovery,0,0,1,0,0,0,Non-podcast user
20-35,Female,1 year to 2 years,"Smartphone, Computer or laptop",Free,Yes,Duo plan,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, Study Hours, While Traveling, Workout session, leisure time","recommendations, Others",4,Never,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Ok,1,1,1,0,0,2,Smartphone,Young Adult,1,1,1,1,1,0,0,1,Algorithm-driven,1,1,1,1,1,0,Non-podcast user
20-35,Female,More than 2 years,Smartphone,Premium,Yes,Individual plan,Music,Melody,Night,Relaxation and stress relief,"Office hours, While Traveling, leisure time",Others,4,Rarely,Lifestyle and Health,Story telling,unknown Podcasters,Shorter,Ok,1,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,0,0,0,1,External Discovery,1,1,0,0,1,0,Light user
20-35,Female,Less than 6 months,Smartphone,Free,No,Student plan,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","Office hours, leisure time","recommendations, Playlists, Others",4,Rarely,Lifestyle and Health,Conversational,Well known individuals,Shorter,Ok,0,1,0,0,0,1,Smartphone,Young Adult,1,1,1,0,1,1,0,1,Hybrid: Rec + Playlist,0,1,0,0,1,0,Light user
12-20,Female,More than 2 years,"Smartphone, Computer or laptop",Free,No,None,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational",leisure time,"recommendations, Playlists, Others",3,Once a week,Health and Fitness,Conversational,Both,Shorter,Ok,0,1,1,0,0,2,Smartphone,Teen Listener,1,1,0,0,1,1,0,1,Hybrid: Rec + Playlist,0,1,0,0,0,0,Light user
20-35,Female,Less than 6 months,Smartphone,Free,No,None,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time",recommendations,5,Once a week,Food and cooking,Conversational,Both,Shorter,Satisfied,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,1,0,0,0,Algorithm-driven,1,1,0,0,0,0,Light user
20-35,Female,Less than 6 months,Smartphone,Free,No,Student plan,Music,Melody,Night,Sadness or melancholy,"Office hours, While Traveling",Others,4,Never,Food and cooking,Conversational,Both,Shorter,Ok,0,1,0,0,0,1,Smartphone,Young Adult,0,0,1,0,0,0,0,1,External Discovery,1,0,0,0,1,0,Non-podcast user
20-35,Male,More than 2 years,"Smartphone, Computer or laptop",Free,No,Student plan,Music,Other,Night,"Uplifting and motivational, Social gatherings or parties",leisure time,"recommendations, Playlists",4,Never,Comedy,Story telling,No Podcast Usage,No Podcast Usage,Ok,0,1,1,0,0,2,Smartphone,Young Adult,0,1,0,1,1,1,0,0,Hybrid: Rec + Playlist,0,1,0,0,0,0,Non-podcast user
20-35,Female,1 year to 2 years,Smartphone,Free,Yes,Duo plan,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Study Hours, While Traveling, leisure time","recommendations, Playlists",5,Never,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Satisfied,1,1,0,0,0,1,Smartphone,Young Adult,1,1,1,1,1,1,0,0,Hybrid: Rec + Playlist,1,1,0,1,0,0,Non-podcast user
20-35,Female,More than 2 years,Smartphone,Free,No,None,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy",leisure time,recommendations,3,Rarely,Comedy,Conversational,Both,Shorter,Ok,0,1,0,0,0,1,Smartphone,Young Adult,1,0,1,0,1,0,0,0,Algorithm-driven,0,1,0,0,0,0,Light user
20-35,Male,1 year to 2 years,Smartphone,Free,No,Student plan,Music,Melody,Afternoon,Relaxation and stress relief,While Traveling,recommendations,3,Rarely,Sports,Story telling,Both,Shorter,Ok,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,1,0,0,0,Algorithm-driven,1,0,0,0,0,0,Light user
20-35,Female,1 year to 2 years,"Smartphone, Computer or laptop",Free,No,None,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, Workout session","recommendations, Playlists, Others",4,Rarely,Comedy,Story telling,Both,Shorter,Ok,0,1,1,0,0,2,Smartphone,Young Adult,1,1,0,0,1,1,0,1,Hybrid: Rec + Playlist,1,0,1,0,0,0,Light user
20-35,Female,Less than 6 months,Smartphone,Free,No,None,Music,Melody,Afternoon,Relaxation and stress relief,While Traveling,Playlists,3,Never,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Ok,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,0,1,0,0,Playlist-driven,1,0,0,0,0,0,Non-podcast user
20-35,Male,Less than 6 months,"Smartphone, Smart speakers or voice assistants",Free,No,Individual plan,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties",leisure time,recommendations,3,Never,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Ok,0,1,0,1,0,2,Smartphone,Young Adult,1,1,1,1,1,0,0,0,Algorithm-driven,0,1,0,0,0,0,Non-podcast user
20-35,Female,Less than 6 months,Smartphone,Free,No,Duo plan,Podcast,Classical,Afternoon,Uplifting and motivational,While Traveling,"recommendations, Playlists",4,Once a week,Health and Fitness,Story telling,unknown Podcasters,Both,Ok,0,1,0,0,0,1,Smartphone,Young Adult,0,1,0,0,1,1,0,0,Hybrid: Rec + Playlist,1,0,0,0,0,0,Light user
20-35,Female,More than 2 years,Smartphone,Free,Yes,Family plan,Music,Melody,Afternoon,Relaxation and stress relief,"Office hours, leisure time",Radio,3,Rarely,No Podcast Usage,No Podcast Usage,No Podcast Usage,Shorter,Ok,1,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,0,0,1,0,Radio/Autoplay,0,1,0,0,1,0,Light user
20-35,Female,1 year to 2 years,Smartphone,Free,No,Individual plan,Music,Electronic/Dance,Night,Relaxation and stress relief,leisure time,"recommendations, Playlists",4,Rarely,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Ok,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,1,1,0,0,Hybrid: Rec + Playlist,0,1,0,0,0,0,Light user
20-35,Male,More than 2 years,Smartphone,Free,No,Student plan,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","Office hours, While Traveling, Workout session, leisure time","recommendations, Playlists",4,Rarely,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Ok,0,1,0,0,0,1,Smartphone,Young Adult,1,1,1,0,1,1,0,0,Hybrid: Rec + Playlist,1,1,1,0,1,0,Light user
12-20,Female,1 year to 2 years,Smartphone,Free,Yes,Student plan,Music,Melody,Night,Sadness or melancholy,"While Traveling, leisure time",recommendations,3,Once a week,Comedy,Story telling,unknown Podcasters,Both,Ok,1,1,0,0,0,1,Smartphone,Teen Listener,0,0,1,0,1,0,0,0,Algorithm-driven,1,1,0,0,0,0,Light user
12-20,Female,6 months to 1 year,Smartphone,Free,No,Student plan,Music,Rap,Morning,Relaxation and stress relief,While Traveling,recommendations,5,Daily,Health and Fitness,Story telling,Both,Longer,Very Satisfied,0,1,0,0,0,1,Smartphone,Teen Listener,1,0,0,0,1,0,0,0,Algorithm-driven,1,0,0,0,0,0,Regular user
20-35,Female,More than 2 years,Smartphone,Premium,Yes,Individual plan,Music,Rap,Night,Social gatherings or parties,leisure time,recommendations,4,Rarely,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Ok,1,1,0,0,0,1,Smartphone,Young Adult,0,0,0,1,1,0,0,0,Algorithm-driven,0,1,0,0,0,0,Light user
20-35,Female,Less than 6 months,"Smartphone, Smart speakers or voice assistants, Wearable devices",Free,No,Student plan,Music,Melody,Night,Relaxation and stress relief,While Traveling,Playlists,4,Once a week,Lifestyle and Health,Conversational,Well known individuals,Longer,Satisfied,0,1,0,1,1,3,Smartphone,Young Adult,1,0,0,0,0,1,0,0,Playlist-driven,1,0,0,0,0,0,Light user
20-35,Female,6 months to 1 year,Smartphone,Free,No,None,Music,Melody,Afternoon,Uplifting and motivational,Workout session,Playlists,5,Several times a week,Comedy,Story telling,Both,Both,Very Satisfied,0,1,0,0,0,1,Smartphone,Young Adult,0,1,0,0,0,1,0,0,Playlist-driven,0,0,1,0,0,0,Regular user
35-60,Male,6 months to 1 year,Smartphone,Free,No,Individual plan,Music,Melody,Night,Relaxation and stress relief,While Traveling,Radio,5,Rarely,Comedy,Educational,Well known individuals,Shorter,Very Satisfied,0,1,0,0,0,1,Smartphone,Adult Listener,1,0,0,0,0,0,1,0,Radio/Autoplay,1,0,0,0,0,0,Light user
20-35,Female,6 months to 1 year,Smartphone,Free,No,None,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy","While Traveling, Workout session",recommendations,3,Never,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Ok,0,1,0,0,0,1,Smartphone,Young Adult,1,0,1,0,1,0,0,0,Algorithm-driven,1,0,1,0,0,0,Non-podcast user
20-35,Female,Less than 6 months,Smartphone,Free,Yes,Student plan,Music,Melody,Morning,Relaxation and stress relief,"While Traveling, leisure time","recommendations, Playlists",4,Never,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Satisfied,1,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,1,1,0,0,Hybrid: Rec + Playlist,1,1,0,0,0,0,Non-podcast user
20-35,Female,6 months to 1 year,Smartphone,Free,No,None,Music,Electronic/Dance,Night,Relaxation and stress relief,"While Traveling, leisure time",recommendations,4,Rarely,Lifestyle and Health,Conversational,Well known individuals,Shorter,Very Satisfied,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,1,0,0,0,Algorithm-driven,1,1,0,0,0,0,Light user
20-35,Female,6 months to 1 year,Smartphone,Free,No,Student plan,Music,Melody,Night,Relaxation and stress relief,"While Traveling, Workout session, leisure time","recommendations, Playlists",4,Once a week,Lifestyle and Health,Story telling,Both,Shorter,Satisfied,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,1,1,0,0,Hybrid: Rec + Playlist,1,1,1,0,0,0,Light user
20-35,Female,Less than 6 months,Smartphone,Free,Yes,Duo plan,Music,Melody,Night,Sadness or melancholy,While Traveling,recommendations,3,Rarely,No Podcast Usage,Conversational,Both,Both,Satisfied,1,1,0,0,0,1,Smartphone,Young Adult,0,0,1,0,1,0,0,0,Algorithm-driven,1,0,0,0,0,0,Light user
20-35,Female,Less than 6 months,Smartphone,Free,No,Individual plan,Music,Melody,Night,Relaxation and stress relief,leisure time,recommendations,1,Never,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Very Dissatisfied,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,1,0,0,0,Algorithm-driven,0,1,0,0,0,0,Non-podcast user
20-35,Female,6 months to 1 year,Smartphone,Free,No,None,Music,Melody,Afternoon,Relaxation and stress relief,"Office hours, While Traveling, leisure time","recommendations, Playlists",3,Rarely,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Ok,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,1,1,0,0,Hybrid: Rec + Playlist,1,1,0,0,1,0,Light user
20-35,Female,Less than 6 months,Smartphone,Free,No,Student plan,Music,Melody,Night,Relaxation and stress relief,While Traveling,recommendations,3,Once a week,Comedy,No Podcast Usage,No Podcast Usage,Both,Ok,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,1,0,0,0,Algorithm-driven,1,0,0,0,0,0,Light user
20-35,Male,More than 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants",Premium,Yes,Individual plan,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","While Traveling, leisure time","recommendations, Playlists, Radio, Others",5,Rarely,Comedy,Story telling,Both,Shorter,Satisfied,1,1,1,1,0,3,Smartphone,Young Adult,1,1,0,1,1,1,1,1,Hybrid: Rec + Playlist,1,1,0,0,0,0,Light user
20-35,Female,More than 2 years,Smartphone,Free,No,Student plan,Music,Pop,Night,Relaxation and stress relief,"Workout session, leisure time",Playlists,4,Never,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Ok,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,0,1,0,0,Playlist-driven,0,1,1,0,0,0,Non-podcast user
20-35,Female,More than 2 years,Computer or laptop,Free,No,Student plan,Music,Pop,Night,Sadness or melancholy,"Workout session, leisure time",Others,4,Never,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Ok,0,0,1,0,0,1,Computer,Young Adult,0,0,1,0,0,0,0,1,External Discovery,0,1,1,0,0,0,Non-podcast user
20-35,Female,6 months to 1 year,Smartphone,Free,No,Individual plan,Music,Melody,Night,Relaxation and stress relief,While Traveling,recommendations,5,Never,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Satisfied,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,1,0,0,0,Algorithm-driven,1,0,0,0,0,0,Non-podcast user
12-20,Female,1 year to 2 years,Smartphone,Free,Yes,Student plan,Music,Melody,Night,Relaxation and stress relief,"Study Hours, Workout session, leisure time","recommendations, Playlists",5,Never,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Ok,1,1,0,0,0,1,Smartphone,Teen Listener,1,0,0,0,1,1,0,0,Hybrid: Rec + Playlist,0,1,1,1,0,0,Non-podcast user
20-35,Male,1 year to 2 years,Smartphone,Premium,Yes,Student plan,Podcast,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time","recommendations, Playlists, Others",4,Several times a week,Lifestyle and Health,Conversational,Both,Both,Very Satisfied,1,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,1,1,0,1,Hybrid: Rec + Playlist,1,1,0,0,0,0,Regular user
20-35,Female,More than 2 years,Smartphone,Free,Yes,Duo plan,Music,Melody,Night,Sadness or melancholy,While Traveling,"Others, Search",4,Rarely,Lifestyle and Health,Conversational,Both,Shorter,Ok,1,1,0,0,0,1,Smartphone,Young Adult,0,0,1,0,0,0,0,1,External Discovery,1,0,0,0,0,0,Light user
20-35,Female,More than 2 years,Smartphone,Free,No,Duo plan,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, leisure time","recommendations, Playlists, Others",5,Rarely,Food and cooking,Conversational,Both,Shorter,Satisfied,0,1,0,0,0,1,Smartphone,Young Adult,1,1,1,1,1,1,0,1,Hybrid: Rec + Playlist,1,1,0,0,0,0,Light user
20-35,Female,More than 2 years,Smartphone,Free,No,Student plan,Music,Melody,Morning,Relaxation and stress relief,Study Hours,Playlists,3,Never,No Podcast Usage,Story telling,unknown Podcasters,Shorter,Ok,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,0,1,0,0,Playlist-driven,0,0,0,1,0,0,Non-podcast user
20-35,Female,1 year to 2 years,Smartphone,Premium,Yes,Individual plan,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","While Traveling, Workout session, leisure time",recommendations,4,Rarely,Lifestyle and Health,Story telling,Well known individuals,Both,Ok,1,1,0,0,0,1,Smartphone,Young Adult,1,1,0,1,1,0,0,0,Algorithm-driven,1,1,1,0,0,0,Light user
20-35,Female,Less than 6 months,Smartphone,Free,No,None,Music,Pop,Night,"Relaxation and stress relief, Social gatherings or parties",leisure time,recommendations,3,Rarely,Comedy,No Podcast Usage,No Podcast Usage,Shorter,Ok,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,1,1,0,0,0,Algorithm-driven,0,1,0,0,0,0,Light user
20-35,Female,6 months to 1 year,Smartphone,Free,No,Student plan,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time","recommendations, Others",3,Once a week,Sports,No Podcast Usage,No Podcast Usage,No Podcast Usage,Ok,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,1,0,0,1,Algorithm-driven,1,1,0,0,0,0,Light user
20-35,Female,Less than 6 months,Smartphone,Free,No,None,Music,Melody,Night,Relaxation and stress relief,While Traveling,recommendations,3,Rarely,Sports,Educational,Both,Shorter,Satisfied,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,1,0,0,0,Algorithm-driven,1,0,0,0,0,0,Light user
20-35,Female,Less than 6 months,Smartphone,Free,No,Student plan,Podcast,Melody,Night,Relaxation and stress relief,leisure time,recommendations,3,Several times a week,Comedy,Story telling,Well known individuals,Shorter,Ok,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,1,0,0,0,Algorithm-driven,0,1,0,0,0,0,Regular user
20-35,Male,1 year to 2 years,Smartphone,Free,No,Duo plan,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, leisure time",Playlists,2,Rarely,Comedy,Educational,Both,Longer,Satisfied,0,1,0,0,0,1,Smartphone,Young Adult,1,1,0,0,0,1,0,0,Playlist-driven,1,1,0,0,0,0,Light user
20-35,Female,Less than 6 months,Smartphone,Free,No,None,Music,Melody,Morning,Relaxation and stress relief,leisure time,"recommendations, Playlists",3,Rarely,No Podcast Usage,No Podcast Usage,No Podcast Usage,Shorter,Ok,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,1,1,0,0,Hybrid: Rec + Playlist,0,1,0,0,0,0,Light user
20-35,Female,1 year to 2 years,"Smartphone, Smart speakers or voice assistants",Free,No,Duo plan,Music,Melody,Afternoon,"Relaxation and stress relief, Social gatherings or parties","Office hours, While Traveling,",recommendations,4,Several times a week,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Ok,0,1,0,1,0,2,Smartphone,Young Adult,1,0,0,1,1,0,0,0,Algorithm-driven,1,0,0,0,1,0,Regular user
20-35,Male,Less than 6 months,Smartphone,Free,No,Student plan,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","While Traveling, Workout session, leisure time",recommendations,4,Rarely,Comedy,Story telling,Both,Shorter,Satisfied,0,1,0,0,0,1,Smartphone,Young Adult,1,1,0,1,1,0,0,0,Algorithm-driven,1,1,1,0,0,0,Light user
20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Free,No,Individual plan,Music,Pop,Morning,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time",Others,3,Never,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Ok,0,1,1,0,0,2,Smartphone,Young Adult,1,1,1,1,0,0,0,1,External Discovery,1,1,1,0,0,0,Non-podcast user
20-35,Female,More than 2 years,Smartphone,Premium,Yes,Individual plan,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, Workout session, leisure time","recommendations, Playlists, Others",4,Rarely,Lifestyle and Health,Educational,Both,Shorter,Ok,1,1,0,0,0,1,Smartphone,Young Adult,1,1,1,0,1,1,0,1,Hybrid: Rec + Playlist,1,1,1,0,0,0,Light user
20-35,Female,More than 2 years,Smartphone,Free,Yes,Family plan,Music,Pop,Night,"Relaxation and stress relief, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",4,Once a week,Lifestyle and Health,Conversational,Well known individuals,Both,Satisfied,1,1,0,0,0,1,Smartphone,Young Adult,1,0,1,1,1,1,0,0,Hybrid: Rec + Playlist,1,1,1,0,0,0,Light user
20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Free,No,None,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","Office hours, leisure time",recommendations,4,Never,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Ok,0,1,1,0,0,2,Smartphone,Young Adult,1,1,1,0,1,0,0,0,Algorithm-driven,0,1,0,0,1,0,Non-podcast user
20-35,Female,6 months to 1 year,Smartphone,Free,No,None,Music,Melody,Night,"Relaxation and stress relief, Social gatherings or parties",leisure time,Playlists,4,Rarely,Food and cooking,Conversational,Both,Shorter,Ok,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,1,0,1,0,0,Playlist-driven,0,1,0,0,0,0,Light user
20-35,Female,1 year to 2 years,Smartphone,Free,No,None,Music,Melody,Night,Relaxation and stress relief,leisure time,Playlists,4,Rarely,Lifestyle and Health,Interview,Well known individuals,Shorter,Satisfied,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,0,1,0,0,Playlist-driven,0,1,0,0,0,0,Light user
20-35,Female,6 months to 1 year,Smartphone,Free,No,None,Music,Melody,Night,Relaxation and stress relief,"Office hours, leisure time",Playlists,3,Never,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Ok,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,0,1,0,0,Playlist-driven,0,1,0,0,1,0,Non-podcast user
20-35,Male,1 year to 2 years,Smartphone,Premium,Yes,Student plan,Music,Other,Morning,"Relaxation and stress relief, Uplifting and motivational","While Traveling, Workout session, leisure time",Playlists,3,Never,No Podcast Usage,No Podcast Usage,Well known individuals,Shorter,Dissatisfied,1,1,0,0,0,1,Smartphone,Young Adult,1,1,0,0,0,1,0,0,Playlist-driven,1,1,1,0,0,0,Non-podcast user
20-35,Female,More than 2 years,Smartphone,Free,No,Student plan,Music,Pop,Night,"Relaxation and stress relief, Sadness or melancholy","While Traveling, Workout session, leisure time","recommendations, Playlists",4,Once a week,Comedy,Conversational,Well known individuals,Shorter,Satisfied,0,1,0,0,0,1,Smartphone,Young Adult,1,0,1,0,1,1,0,0,Hybrid: Rec + Playlist,1,1,1,0,0,0,Light user
20-35,Female,Less than 6 months,"Smartphone, Computer or laptop",Free,No,None,Music,Melody,Afternoon,Relaxation and stress relief,leisure time,Others,3,Never,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Ok,0,1,1,0,0,2,Smartphone,Young Adult,1,0,0,0,0,0,0,1,External Discovery,0,1,0,0,0,0,Non-podcast user
20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Free,Yes,Individual plan,Music,Electronic/Dance,Night,"Relaxation and stress relief, Uplifting and motivational",leisure time,recommendations,5,Rarely,Lifestyle and Health,Story telling,Well known individuals,Shorter,Satisfied,1,1,1,0,0,2,Smartphone,Young Adult,1,1,0,0,1,0,0,0,Algorithm-driven,0,1,0,0,0,0,Light user
20-35,Female,6 months to 1 year,Smartphone,Free,No,Family plan,Music,Melody,Night,Relaxation and stress relief,"Office hours, While Traveling, leisure time","recommendations, Others",5,Rarely,Other,Story telling,Both,Shorter,Satisfied,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,1,0,0,1,Algorithm-driven,1,1,0,0,1,0,Light user
20-35,Female,More than 2 years,Smartphone,Free,No,None,Music,Other,Night,Relaxation and stress relief,leisure time,Others,3,Never,No Podcast Usage,Conversational,Well known individuals,No Podcast Usage,Ok,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,0,0,0,1,External Discovery,0,1,0,0,0,0,Non-podcast user
20-35,Female,More than 2 years,"Smartphone, Smart speakers or voice assistants, Wearable devices",Free,No,None,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",5,Rarely,Comedy,Story telling,Both,Shorter,Satisfied,0,1,0,1,1,3,Smartphone,Young Adult,1,1,1,1,1,1,0,0,Hybrid: Rec + Playlist,1,1,1,0,0,0,Light user
20-35,Female,More than 2 years,Smartphone,Free,Yes,Family plan,Music,Melody,Night,Relaxation and stress relief,leisure time,Playlists,4,Rarely,Lifestyle and Health,Educational,unknown Podcasters,Shorter,Satisfied,1,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,0,1,0,0,Playlist-driven,0,1,0,0,0,0,Light user
20-35,Female,More than 2 years,Smartphone,Free,No,Student plan,Music,Melody,Night,Relaxation and stress relief,While Traveling,"recommendations, Playlists",4,Rarely,Lifestyle and Health,Interview,Both,Shorter,Ok,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,1,1,0,0,Hybrid: Rec + Playlist,1,0,0,0,0,0,Light user
20-35,Female,More than 2 years,Smartphone,Free,No,None,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy",leisure time,"recommendations, Playlists",4,Rarely,Lifestyle and Health,Educational,Both,Both,Ok,0,1,0,0,0,1,Smartphone,Young Adult,1,0,1,0,1,1,0,0,Hybrid: Rec + Playlist,0,1,0,0,0,0,Light user
20-35,Male,More than 2 years,Smartphone,Free,No,Family plan,Music,Classical,Night,Relaxation and stress relief,"Office hours, While Traveling",Playlists,4,Rarely,Comedy,Conversational,No Podcast Usage,Shorter,Ok,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,0,1,0,0,Playlist-driven,1,0,0,0,1,0,Light user
20-35,Male,More than 2 years,"Smartphone, Computer or laptop",Free,Yes,Student plan,Music,Classical,Night,"Relaxation and stress relief, Sadness or melancholy",leisure time,Others,4,Never,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Very Satisfied,1,1,1,0,0,2,Smartphone,Young Adult,1,0,1,0,0,0,0,1,External Discovery,0,1,0,0,0,0,Non-podcast user
